ID	Class	Mean	stdev	Predicted_0.43	Median	score_0	score_1	score_2	score_3	score_4
NP_001233775	special	0.9515863108335132	0.030873016966655925	special	0.9558990636407534	0.9736135011815574	0.9832847693514668	0.9049637658787743	0.9401704541150147	0.9558990636407534
NP_001233777	gen	0.22010360252504366	0.07962815730060968	gen	0.2275261555707603	0.09172417526308806	0.277834517416023	0.2935171958320276	0.20991596854331918	0.2275261555707603
NP_001233790	special	0.531659746281046	0.10258891869212171	special	0.5560736300098372	0.40163012726717545	0.6109474166160058	0.5560736300098372	0.6395895089672575	0.45005804854495374
NP_001233795	gen	0.05186279231460965	0.016983829203417185	gen	0.05728632697835022	0.06787794324751914	0.06369729001067607	0.025890936048082278	0.04456146528842054	0.05728632697835022
NP_001233801	gen	0.056436328444392815	0.028905977246921045	gen	0.06323150481682391	0.06323150481682391	0.03755052152070324	0.07536789724632095	0.08877596587601516	0.01725575276210078
NP_001233805	special	0.9972865984956772	0.00347929901258376	special	0.9995264999447262	0.9997990657035126	0.994792285908568	0.9995264999447262	0.9999206431822922	0.9923944977392875
NP_001233808	gen	0.11246724678704476	0.023307981431253247	gen	0.12308143931373923	0.07311901904212934	0.12559963360173165	0.1307069067484836	0.12308143931373923	0.10982923522914001
NP_001233812	special	0.9899367233390771	0.008538648276343234	special	0.9918026520144142	0.9966641101757765	0.9883646538825349	0.9918026520144142	0.996812973845129	0.9760392267775311
NP_001233813	gen	0.9115492177355625	0.07359639608144272	special	0.9426519200362072	0.9734915360282121	0.8133260693635684	0.9426519200362072	0.9741395141084329	0.8541370491413923
NP_001233814	gen	0.029432699451375922	0.019853862401030643	gen	0.03458168537946163	0.056783237981513635	0.010726204382080355	0.03458168537946163	0.00917424987942199	0.03589811963440199
NP_001233822	gen	0.16398822570573263	0.1721894617027407	gen	0.08076855542253339	0.23565044595856655	0.08076855542253339	0.4328708757715695	0.059093742559483436	0.011557508816510303
NP_001233827	gen	0.7407246932876882	0.06723321252896998	special	0.7538730162332425	0.756297531582707	0.8344016144025623	0.6530698687411863	0.7538730162332425	0.7059814354787433
NP_001233832	gen	0.3677058427830277	0.09940344999170833	gen	0.3731004069772362	0.3731004069772362	0.5034915935722267	0.3070984466883464	0.24334186568298535	0.4114969009943439
NP_001233840	special	0.6082083326018631	0.10546067212005324	special	0.6034675829419419	0.6959032836807244	0.7318359742433944	0.49616779436533354	0.6034675829419419	0.5136670277779215
NP_001233841	gen	0.0156546902520945	0.009686478800629453	gen	0.016821177151497186	0.02191609569340655	0.027678194665768346	0.016821177151497186	0.006636989120393091	0.005220994629407319
NP_001233845	special	0.9257443841981647	0.015452146133598263	special	0.9240572063383177	0.9500004254958956	0.9138928531321013	0.9112757296265754	0.9294957063979341	0.9240572063383177
NP_001233848	gen	0.9162805709724402	0.02362029700269076	special	0.9089343731227814	0.9144106988170494	0.9566943640454109	0.8954717648897721	0.9089343731227814	0.9058916539871874
NP_001233850	gen	0.19584028848130158	0.07438036289544263	gen	0.16042693722701015	0.13972838108437524	0.3103632434904345	0.16042693722701015	0.13771983749773964	0.23096304310694832
NP_001233851	gen	0.1426549182880575	0.03604182505251648	gen	0.15495952358146184	0.15495952358146184	0.17333384980696992	0.1314972587824425	0.1684104081092865	0.08507355116012666
NP_001233852	special	0.9807757898047648	0.009262395178975886	special	0.9843252051403876	0.9869838507874472	0.9843252051403876	0.9721902903442251	0.9697583124708381	0.9906212902809259
NP_001233853	special	0.9868740085432789	0.009922296480505063	special	0.9887860956511174	0.9961073149494708	0.9953330275999185	0.9725343830592983	0.9887860956511174	0.9816092214565898
NP_001233855	gen	0.8149809674959336	0.04708961263215285	special	0.8322286255633069	0.8335424430581696	0.8322286255633069	0.7411496506977127	0.8019467018430719	0.8660374163174066
NP_001233857	gen	0.023499907358206305	0.014058292428073493	gen	0.03179290948210296	0.03692567544857083	0.010815176816887035	0.03179290948210296	0.0059481668569553205	0.03201760818651539
NP_001233859	special	0.9433187214355577	0.01229125903929171	special	0.9420901452152821	0.9412645146408155	0.9244978065964473	0.95420106342332	0.9545400773019238	0.9420901452152821
NP_001233860	special	0.9847015510145862	0.012908838873117548	special	0.9910371063779684	0.9956803171990887	0.9910371063779684	0.9736637055997064	0.9950605128018518	0.9680661130943157
NP_001233861	gen	0.7785426090256544	0.09621028121268879	special	0.7891334680462069	0.688602395227734	0.8873409053734401	0.7891334680462069	0.8547949900306132	0.672841286450278
NP_001233863	gen	0.09933907054602294	0.031009697624604635	gen	0.08979627211717842	0.1218238743824118	0.08979627211717842	0.0767130944723774	0.06750034197893887	0.14086176977920817
NP_001233867	gen	0.8524404843425337	0.04879732329845681	special	0.8690200968432583	0.7665701425557809	0.8629115535830488	0.8690200968432583	0.8775726748202852	0.8861279539102958
NP_001233868	gen	0.14745527873488387	0.03922899351547234	gen	0.13222365361800686	0.12092351431838516	0.2104359573782062	0.11417433565028136	0.1595189327095397	0.13222365361800686
NP_001233870	gen	0.09222760974875706	0.03274572186509789	gen	0.09006076473503719	0.09006076473503719	0.094904322363962	0.14374210334486	0.054590906263925196	0.07783995203600087
NP_001233873	gen	0.05221781266274057	0.02038246138335073	gen	0.050950561485156746	0.08533932245234159	0.03513964356138358	0.035821207494743365	0.050950561485156746	0.053838328320077594
NP_001233878	gen	0.5492772844628327	0.1297988149834358	special	0.5342280948405356	0.5342280948405356	0.5799275277589199	0.7380496082721395	0.37742789044173874	0.5167533010008304
NP_001233887	gen	0.3047876772390277	0.08865264110920666	gen	0.3076844387299718	0.3452387852403328	0.42155791786167807	0.2655837690325401	0.18387347533061596	0.3076844387299718
NP_001233888	gen	0.18419543793880339	0.13029920892075422	gen	0.18986072617198013	0.06905078202514434	0.2712322233561347	0.3483773634508556	0.042456094689902045	0.18986072617198013
NP_001233893	gen	0.16580227896909094	0.12331559606841666	gen	0.14966825182759794	0.07228793006090814	0.36695463678011486	0.17993744973132267	0.060163126445511105	0.14966825182759794
NP_001233896	gen	0.006574538327239104	0.006876498950023838	gen	0.004959294639523637	0.004959294639523637	0.017626092122133428	0.008232940390592436	0.0008008182548240993	0.001253546229121923
NP_001233907	gen	0.0076047105914513495	0.004026387228040214	gen	0.0073986096386394855	0.0073986096386394855	0.01263630536993622	0.010503076900679163	0.004535944400086252	0.0029496166479156274
NP_001233917	gen	0.04577600916987297	0.034985207415001	gen	0.02936257794801518	0.07330992569841534	0.02936257794801518	0.02064350505760439	0.09239597172777152	0.013168065417558416
NP_001233918	gen	0.34512039827057606	0.10057984021216665	gen	0.29336604268169464	0.461384078668801	0.4471262166231373	0.2624226915699443	0.2613029618093033	0.29336604268169464
NP_001233920	gen	0.030667445140569388	0.013221868752251205	gen	0.03785962124243964	0.03785962124243964	0.03790392764739958	0.04343858445270127	0.022642520362071792	0.011492571998234665
NP_001233922	gen	0.1296334620252047	0.04419331406416394	gen	0.11393387966358444	0.19798108233950742	0.10563092786649184	0.14619693564294242	0.11393387966358444	0.08442448461349734
NP_001233928	gen	0.9333307322021991	0.04919658845741225	special	0.9567109748675091	0.9807190288941746	0.9567109748675091	0.96861625293155	0.8834763232649256	0.8771310810528358
NP_001233940	gen	0.5760164847394451	0.15575429092321233	special	0.5717236908126838	0.36014830460659286	0.7983440398193031	0.5527047383005189	0.5717236908126838	0.5971616501581265
NP_001233948	gen	0.008998547121445296	0.0035855906303197877	gen	0.007866413954639788	0.014649290257279408	0.007866413954639788	0.005256117645442397	0.01000799233363441	0.007212921416230468
NP_001233951	gen	0.17752542195178275	0.14052957352854403	gen	0.17158610409138156	0.08883223981121549	0.04607219312982102	0.17158610409138156	0.40942777974340305	0.1717087929830926
NP_001233952	gen	0.06928301728247178	0.027403602320142256	gen	0.073832240095013	0.03401537763589545	0.10175617435950678	0.073832240095013	0.08688918522641166	0.049922109095532005
NP_001233977	gen	0.5569193908910955	0.1531472433766723	special	0.521551449477291	0.7524164548313458	0.521551449477291	0.3507610682308829	0.5064978905310206	0.6533700913849375
NP_001233988	gen	0.04866761268293943	0.023999636110122402	gen	0.05525952064803263	0.036761363473866306	0.05525952064803263	0.0592030603482893	0.014481020461769085	0.07763309848273986
NP_001234001	gen	0.058430674519677116	0.03929292941170523	gen	0.04917415630293391	0.04944830158283351	0.12716890445405693	0.031020543282910734	0.04917415630293391	0.035341466975650486
NP_001234003	gen	0.2865232128140896	0.04244676283714926	gen	0.276340338605064	0.2475451738415196	0.250181900528043	0.3467088601484821	0.3118397909473391	0.276340338605064
NP_001234004	gen	0.13343643635662988	0.09963614111373169	gen	0.10812708361371222	0.10812708361371222	0.04977219728710063	0.28671061635721795	0.04966257162180231	0.1729097129033163
NP_001234005	gen	0.04456481361645474	0.044029659146249664	gen	0.01951315230132224	0.07511780967725533	0.1069351941009591	0.01951315230132224	0.010521696326632109	0.010736215676104907
NP_001234008	gen	0.9819962199180502	0.00710556398423339	special	0.9805697984202577	0.9932936371552595	0.9830279690210919	0.9805697984202577	0.9789728523211226	0.9741168426725186
