ID	Class	Mean	stdev	Predicted_0.42	Median	score_0	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9
NP_001233775	special	0.9400191409530109	0.05127958444169246	special	0.953729369782916	0.8952652078856979	0.9637111079725179	0.94207662043934	0.990195214665729	0.8178240638181906	0.9728855169627312	0.925968566729305	0.9717677030202111	0.9437476315933141	0.9767497764430718
NP_001233777	gen	0.31348287391611085	0.05035783532127357	gen	0.30436944586675463	0.2992497718626747	0.2954215431830069	0.32950955992886943	0.28628134705594843	0.30948911987083455	0.21731357015217165	0.3722842647888518	0.2779170519598612	0.37929049233577067	0.36807201802311945
NP_001233790	special	0.5768065966662799	0.09489180688409049	special	0.5557759590339312	0.5010125028870587	0.5048134053719976	0.5454921150205035	0.6866326249815208	0.6934277526143595	0.7194647420703554	0.530523143369786	0.5660598030473588	0.5878426261273902	0.43279725117246864
NP_001233795	gen	0.13769064714192708	0.06036006021400459	gen	0.15662663190970572	0.20077497122968224	0.08181583625588534	0.21273387394243234	0.15472453436402256	0.07520636208564448	0.15852872945538887	0.19817477155552995	0.05450236559832253	0.16626251644008588	0.07418251049227664
NP_001233801	gen	0.1038276736803784	0.03475036810920378	gen	0.1160926223819217	0.12368088654303074	0.13228529963230576	0.10993520039709419	0.14227935420231236	0.05437915655909383	0.09142445898371204	0.12225004436674919	0.05970339920456539	0.1414746143456581	0.06086432256926238
NP_001233805	special	0.9803510404985462	0.012631166944478793	special	0.9840023466186947	0.9549640498568271	0.9814341873164462	0.9774990257187471	0.9759934801610758	0.9910345209460143	0.9900039517866985	0.9637308300450411	0.9931516249451842	0.9891282282884836	0.9865705059209432
NP_001233808	gen	0.1496020876548098	0.05133890003852601	gen	0.15435835154308114	0.18614084855879123	0.23329536839300793	0.20755750796330222	0.07957809470116287	0.14537742067912388	0.09532649171544895	0.17029370103582808	0.10632474873182181	0.16333928240703843	0.10878741236257287
NP_001233812	special	0.9559487337166699	0.04134680561270236	special	0.9714056689441031	0.9779037700781418	0.9844034531353213	0.949292782005314	0.9803849592325884	0.9439852362049165	0.9711539317418465	0.9716574061463595	0.9859796891734617	0.9476889524265957	0.8470371570221542
NP_001233813	gen	0.6941705050532447	0.1346707296514292	special	0.7027205380078385	0.7370776305049865	0.7591030006815181	0.5138258462393609	0.6178058582557368	0.7746622264039779	0.8158111715375096	0.6423070716383049	0.6683634455106905	0.48971362345430075	0.9230351763060612
NP_001233814	gen	0.10674191472797649	0.04986799108840966	gen	0.11134482309704409	0.17457414019260872	0.16123012538242196	0.10248491936639607	0.13142825332023358	0.03454288533063108	0.08455882262794301	0.12020472682769211	0.038941481048199354	0.15263889847383955	0.06681489470979951
NP_001233822	gen	0.36575760451955774	0.12129028151836961	gen	0.3801333514484265	0.4814460955998883	0.3482058518543549	0.5102244971211114	0.14924783556857812	0.4062104406825326	0.48130887171905606	0.2970626927206233	0.20100574194570509	0.42880775576940694	0.35405626221432046
NP_001233827	gen	0.7444714733583158	0.06181913896619051	special	0.7539472658374822	0.8294297992641476	0.7048503046834339	0.6225081377478255	0.7284144040862786	0.8019071620065	0.7802503495387846	0.6881013989730068	0.7296882647480158	0.7782062669269485	0.7813586456082167
